accident_id,accident_date,accident_time,latitude,longitude,fatalities,injuries,weather_id,road_id,vehicle_id,light_condition
1,2023-07-28,19:25:00,28.6139,77.2090,0,2,2,2,2,Night
2,2024-05-15,08:10:00,28.7041,77.1025,1,1,1,1,1,Day
3,2023-11-01,18:55:00,28.5562,77.1000,0,3,1,1,2,Dusk
4,2024-02-12,22:30:00,28.6139,77.2090,0,1,1,2,1,Night
5,2023-09-20,17:45:00,28.5275,77.1367,0,1,1,1,4,Dusk
6,2024-01-30,09:05:00,28.7041,77.1025,1,0,3,2,3,Day
7,2023-04-18,14:00:00,28.6139,77.2090,0,2,1,2,1,Day
8,2024-08-05,08:40:00,28.5562,77.1000,0,1,2,1,2,Day
9,2023-07-11,20:15:00,28.5275,77.1367,1,4,2,2,2,Night
10,2024-07-25,19:00:00,28.6139,77.2090,0,2,2,2,1,Night
11,2023-08-19,21:45:00,28.7041,77.1025,0,1,2,2,2,Night
12,2024-06-02,12:30:00,28.5562,77.1000,1,1,1,3,4,Day
13,2023-09-09,18:30:00,28.6139,77.2090,1,3,1,1,1,Dusk
14,2024-12-04,06:20:00,28.7041,77.1025,0,1,3,2,3,Dawn
15,2023-11-28,19:45:00,28.5275,77.1367,0,2,3,3,1,Night
16,2024-01-10,18:15:00,28.6139,77.2090,0,1,3,1,2,Dusk
17,2023-03-22,08:50:00,28.7041,77.1025,0,1,1,2,1,Day
18,2024-10-14,23:00:00,28.5562,77.1000,1,2,1,1,4,Night
19,2023-05-01,11:45:00,28.6139,77.2090,0,1,1,2,2,Day
20,2024-04-16,09:20:00,28.5275,77.1367,0,2,1,1,1,Day
21,2023-07-07,18:10:00,28.7041,77.1025,0,1,2,2,2,Dusk
22,2024-08-30,08:30:00,28.6139,77.2090,1,3,2,1,3,Day
23,2023-02-14,19:50:00,28.5562,77.1000,0,1,1,2,1,Night
24,2024-09-21,17:55:00,28.6139,77.2090,0,2,1,1,2,Dusk
25,2023-06-15,21:05:00,28.5275,77.1367,1,0,1,2,4,Night
26,2024-03-05,08:00:00,28.7041,77.1025,0,1,1,1,1,Day
27,2023-12-18,13:20:00,28.6139,77.2090,0,1,3,3,2,Day
28,2024-07-19,19:35:00,28.5562,77.1000,0,2,2,2,2,Night
25,2023-01-29,09:12:00,28.6358,77.2244,0,1,1,2,1,Day
26,2024-04-04,18:45:00,28.6128,77.2773,1,2,1,1,2,Dusk
27,2023-08-11,20:00:00,28.6562,77.2410,0,1,2,2,4,Night
28,2024-11-23,22:10:00,28.6139,77.2090,0,3,3,2,1,Night
29,2023-05-19,08:55:00,28.7041,77.1025,0,1,1,1,1,Day
30,2024-01-02,19:20:00,28.5562,77.1000,1,0,1,1,3,Night
31,2023-10-07,11:30:00,28.6139,77.2090,0,2,1,2,2,Day
32,2024-03-14,09:15:00,28.5275,77.1367,0,1,1,1,1,Day
33,2023-07-22,18:30:00,28.7041,77.1025,0,4,2,2,2,Dusk
34,2024-08-01,08:45:00,28.6139,77.2090,1,2,2,1,1,Day
35,2023-02-28,21:00:00,28.7041,77.1025,0,1,1,2,4,Night
36,2024-09-17,14:00:00,28.5562,77.1000,0,1,1,1,2,Day
37,2023-06-25,19:40:00,28.6139,77.2090,0,3,1,1,1,Night
38,2024-12-10,06:50:00,28.7041,77.1025,0,1,3,2,3,Dawn
39,2023-11-05,20:25:00,28.5275,77.1367,1,1,1,3,2,Night
40,2024-01-20,18:50:00,28.6139,77.2090,0,2,3,1,1,Dusk
41,2023-04-12,08:20:00,28.7041,77.1025,0,1,1,2,2,Day
42,2024-05-08,23:15:00,28.5562,77.1000,1,0,1,1,4,Night
43,2023-08-16,09:00:00,28.6139,77.2090,0,2,2,2,1,Day
44,2024-10-29,19:05:00,28.5275,77.1367,0,1,1,1,3,Night
45,2023-07-03,18:40:00,28.7041,77.1025,1,3,2,2,2,Dusk
46,2024-02-08,08:35:00,28.6139,77.2090,0,1,1,1,1,Day
47,2023-09-24,20:45:00,28.5562,77.1000,0,2,1,2,2,Night
48,2024-06-19,15:00:00,28.6358,77.2244,0,1,1,2,1,Day
49,2023-01-15,19:10:00,28.6128,77.2773,1,1,3,1,4,Night
50,2024-08-22,08:50:00,28.6562,77.2410,0,2,2,2,2,Day
51,2023-03-10,22:00:00,28.6139,77.2090,0,1,1,2,1,Night
52,2024-11-13,09:00:00,28.7041,77.1025,0,1,1,1,3,Day
53,2023-07-29,19:55:00,28.5562,77.1000,1,3,2,1,2,Night
54,2024-05-27,11:10:00,28.6139,77.2090,0,1,1,2,1,Day
55,2023-10-18,18:20:00,28.5275,77.1367,0,2,1,1,4,Dusk
56,2024-01-07,08:25:00,28.7041,77.1025,0,1,3,2,1,Day
57,2023-08-04,20:30:00,28.6139,77.2090,1,2,2,2,2,Night
58,2024-04-23,16:20:00,28.5562,77.1000,0,1,1,1,1,Day
59,2023-09-02,19:15:00,28.5275,77.1367,0,3,1,2,2,Night
60,2024-07-16,08:55:00,28.7041,77.1025,0,1,2,1,3,Day
61,2023-12-25,23:50:00,28.6139,77.2090,1,1,3,1,4,Night
62,2024-02-18,09:30:00,28.5562,77.1000,0,2,1,2,1,Day
63,2023-06-09,18:50:00,28.7041,77.1025,0,1,1,1,2,Dusk
64,2024-08-14,20:05:00,28.5275,77.1367,0,1,2,2,2,Night
65,2023-01-01,10:00:00,28.6358,77.2244,0,2,3,3,1,Day
66,2024-09-30,19:00:00,28.6128,77.2773,1,0,1,1,4,Night
67,2023-04-20,08:40:00,28.6562,77.2410,0,1,1,2,2,Day
68,2024-11-08,21:20:00,28.6139,77.2090,0,2,1,2,1,Night
69,2023-05-14,09:10:00,28.7041,77.1025,0,1,1,1,1,Day
70,2024-07-27,18:35:00,28.5562,77.1000,0,3,2,1,2,Dusk
71,2023-10-12,12:00:00,28.6139,77.2090,1,1,1,2,3,Day
72,2024-03-28,09:05:00,28.5275,77.1367,0,1,1,1,1,Day
73,2023-08-25,19:45:00,28.7041,77.1025,0,2,2,2,2,Night
74,2024-06-11,08:20:00,28.6139,77.2090,0,1,1,1,1,Day
75,2023-02-05,20:50:00,28.7041,77.1025,1,0,1,2,4,Night
76,2024-09-06,17:00:00,28.5562,77.1000,0,1,1,1,2,Day
77,2023-12-01,19:20:00,28.6139,77.2090,0,2,3,1,1,Night
78,2024-01-24,06:40:00,28.7041,77.1025,0,1,3,2,3,Dawn
79,2023-11-19,22:15:00,28.5275,77.1367,0,1,1,3,2,Night
80,2024-04-09,18:55:00,28.6139,77.2090,1,2,1,1,1,Dusk
81,2023-05-29,08:15:00,28.7041,77.1025,0,1,1,2,2,Day
82,2024-08-18,23:00:00,28.5562,77.1000,0,1,2,1,4,Night
83,2023-07-14,09:25:00,28.6139,77.2090,0,2,2,2,1,Day
84,2024-10-03,19:30:00,28.5275,77.1367,1,1,1,1,3,Night
85,2023-07-01,18:25:00,28.7041,77.1025,0,4,2,2,2,Dusk
86,2024-02-24,08:40:00,28.6139,77.2090,0,1,1,1,1,Day
87,2023-09-11,20:10:00,28.5562,77.1000,0,2,1,2,2,Night
88,2024-06-29,14:30:00,28.6358,77.2244,0,1,1,2,1,Day
89,2023-01-22,19:00:00,28.6128,77.2773,0,1,3,1,4,Night
90,2024-08-28,08:55:00,28.6562,77.2410,1,2,2,2,2,Day
91,2023-03-25,22:45:00,28.6139,77.2090,0,1,1,2,1,Night
92,2024-11-01,09:05:00,28.7041,77.1025,0,1,1,1,3,Day
93,2023-07-18,19:40:00,28.5562,77.1000,0,3,2,1,2,Night
94,2024-05-11,10:50:00,28.6139,77.2090,0,1,1,2,1,Day
95,2023-10-22,18:15:00,28.5275,77.1367,1,2,1,1,4,Dusk
96,2024-01-13,08:30:00,28.7041,77.1025,0,1,3,2,1,Day
